         15265269 function calls (15256593 primitive calls) in 68.643 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1071053    0.053    0.000    0.053    0.000 {method 'append' of 'list' objects}
     1190    0.241    0.000    0.241    0.000 {method 'array_from_header' of 'scipy.io.matlab.mio5_utils.VarReader5' objects}
      476    0.002    0.000    0.002    0.000 {method 'close' of '_io.BufferedReader' objects}
     4350    0.003    0.000    0.003    0.000 {method 'copy' of 'numpy.ndarray' objects}
     1666    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
      260    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      240    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       23    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      238    0.410    0.002    0.410    0.002 {method 'flatten' of 'numpy.ndarray' objects}
      253    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      305    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       23    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
   431913    6.590    0.000    6.590    0.000 {method 'index' of 'list' objects}
        9    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      476    0.002    0.000    0.002    0.000 {method 'issubset' of 'set' objects}
      238    0.000    0.000    0.000    0.000 {method 'item' of 'numpy.ndarray' objects}
        8    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
        6    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       15    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
     1137    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       15    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      239    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      476    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
        3    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
      244    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
     3808    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
       20    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
     1190    0.001    0.000    0.001    0.000 {method 'read_full_tag' of 'scipy.io.matlab.mio5_utils.VarReader5' objects}
     1190    0.002    0.000    0.002    0.000 {method 'read_header' of 'scipy.io.matlab.mio5_utils.VarReader5' objects}
     4588    0.017    0.000    0.017    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        3    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
       21    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
     5067    0.001    0.000    0.001    0.000 {method 'reverse' of 'list' objects}
      480    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      210    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      324    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     4522    0.002    0.000    0.002    0.000 {method 'seek' of '_io.BufferedReader' objects}
     1190    0.000    0.000    0.000    0.000 {method 'set_stream' of 'scipy.io.matlab.mio5_utils.VarReader5' objects}
        3    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
      238    2.728    0.011    2.728    0.011 {method 'sort' of 'numpy.ndarray' objects}
      716    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      238    0.000    0.000    0.000    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
      722    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      238    0.000    0.000    0.000    0.000 {method 'strip' of 'bytes' objects}
     3094    0.002    0.000    0.002    0.000 {method 'tell' of '_io.BufferedReader' objects}
      476    0.011    0.000    0.011    0.000 {method 'tolist' of 'numpy.ndarray' objects}
     1705    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}


