         15265269 function calls (15256593 primitive calls) in 68.643 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:62(BmpImageFile)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:39(LoadingStrategy)
      238    0.000    0.000    0.000    0.000 GifImagePlugin.py:54(_accept)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:63(GifImageFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:104(GimpGradientFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:20(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:66(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:17(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:22(GimpPaletteFile)
      238    0.000    0.000    0.000    0.000 Image.py:2998(_decompression_bomb_check)
      238    0.002    0.000    0.050    0.000 Image.py:3018(open)
      238    0.003    0.000    0.017    0.000 Image.py:3083(_open_core)
        7    0.000    0.000    0.000    0.000 Image.py:3231(register_open)
        7    0.000    0.000    0.000    0.000 Image.py:3246(register_mime)
        7    0.000    0.000    0.000    0.000 Image.py:3257(register_save)
        3    0.000    0.000    0.000    0.000 Image.py:3268(register_save_all)
       15    0.000    0.000    0.000    0.000 Image.py:3280(register_extension)
        4    0.000    0.000    0.000    0.000 Image.py:3291(register_extensions)
        2    0.000    0.000    0.000    0.000 Image.py:3313(register_decoder)
      238    0.000    0.000    0.007    0.000 Image.py:343(preinit)
      238    0.001    0.000    0.001    0.000 Image.py:526(__init__)
      714    0.000    0.000    0.000    0.000 Image.py:558(size)
      238    0.000    0.000    0.000    0.000 Image.py:578(__enter__)
      238    0.000    0.000    0.002    0.000 Image.py:581(__exit__)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:315(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:342(Parser)
      238    0.000    0.000    0.000    0.000 ImageFile.py:533(_safe_read)
        1    0.000    0.000    0.000    0.000 ImageFile.py:566(PyCodecState)
        1    0.000    0.000    0.000    0.000 ImageFile.py:577(PyCodec)
        1    0.000    0.000    0.000    0.000 ImageFile.py:647(PyDecoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:694(PyEncoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:84(ImageFile)
      238    0.001    0.000    0.012    0.000 ImageFile.py:87(__init__)
        1    0.000    0.000    0.000    0.000 ImageOps.py:20(<module>)
        1    0.000    0.000    0.001    0.001 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:25(ImagePalette)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(Iterator)
      238    0.000    0.000    0.000    0.000 JpegImagePlugin.py:331(_accept)
        1    0.000    0.000    0.003    0.003 JpegImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:340(JpegImageFile)
        1    0.000    0.000    0.000    0.000 JpegPresets.py:64(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:19(PaletteFile)
      238    0.000    0.000    0.000    0.000 PngImagePlugin.py:1021(_close__fp)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1064(_idat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1075(_fdat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:119(Blend)
      476    0.000    0.000    0.001    0.000 PngImagePlugin.py:164(_crc32)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:172(ChunkStream)
      238    0.000    0.000    0.000    0.000 PngImagePlugin.py:173(__init__)
      476    0.001    0.000    0.002    0.000 PngImagePlugin.py:178(read)
      476    0.001    0.000    0.004    0.000 PngImagePlugin.py:210(call)
      238    0.000    0.000    0.001    0.000 PngImagePlugin.py:216(crc)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:264(iTXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:286(PngInfo)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:370(PngStream)
      238    0.000    0.000    0.001    0.000 PngImagePlugin.py:371(__init__)
      238    0.001    0.000    0.001    0.000 PngImagePlugin.py:435(chunk_IHDR)
      238    0.000    0.000    0.000    0.000 PngImagePlugin.py:450(chunk_IDAT)
      476    0.000    0.000    0.000    0.000 PngImagePlugin.py:687(_accept)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:695(PngImageFile)
      238    0.002    0.000    0.009    0.000 PngImagePlugin.py:700(_open)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:98(Disposal)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:133(PpmDecoder)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:18(<module>)
      238    0.000    0.000    0.000    0.000 PpmImagePlugin.py:42(_accept)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:50(PpmImageFile)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:1045(TiffImageFile)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:138(<dictcomp>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:1837(AppendingTiffWriter)
      238    0.000    0.000    0.000    0.000 TiffImagePlugin.py:269(_accept)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:300(IFDRational)
       26    0.000    0.000    0.000    0.000 TiffImagePlugin.py:385(_delegate)
        1    0.000    0.000    0.002    0.002 TiffImagePlugin.py:41(<module>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:427(ImageFileDirectory_v2)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:662(_register_loader)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:663(decorator)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:673(_register_writer)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:674(decorator)
        9    0.000    0.000    0.000    0.000 TiffImagePlugin.py:680(_register_basic)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:946(ImageFileDirectory_v1)
        2    0.000    0.000    0.000    0.000 __init__.py:1170(append)
        2    0.000    0.000    0.000    0.000 __init__.py:1216(getLogger)
        2    0.000    0.000    0.000    0.000 __init__.py:1267(_fixupParents)
        2    0.000    0.000    0.000    0.000 __init__.py:1336(__init__)
      476    0.000    0.000    0.001    0.000 __init__.py:1356(debug)
        1    0.000    0.000    0.000    0.000 __init__.py:1600(getEffectiveLevel)
      476    0.000    0.000    0.000    0.000 __init__.py:1614(isEnabledFor)
        2    0.000    0.000    0.000    0.000 __init__.py:187(_checkLevel)
        2    0.000    0.000    0.000    0.000 __init__.py:1928(getLogger)
        3    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
        3    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:316(namedtuple)
        4    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
        2    0.000    0.000    0.000    0.000 __init__.py:716(__init__)
      238    0.000    0.000    0.001    0.000 _binary.py:60(i32le)
     1190    0.000    0.000    0.001    0.000 _binary.py:84(i32be)
     4588    0.002    0.000    0.019    0.000 _methods.py:60(_all)
      238    0.000    0.000    0.000    0.000 _util.py:5(isPath)
       19    0.000    0.000    0.000    0.000 _virtualenv.py:54(find_spec)
        5    0.000    0.000    0.000    0.000 abc.py:125(__new__)
        1    0.000    0.000    0.000    0.000 abc.py:130(register)
      7/1    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
      238    0.000    0.000    0.000    0.000 arraysetops.py:125(_unpack_tuple)
      238    0.000    0.000    0.000    0.000 arraysetops.py:133(_unique_dispatcher)
      238    0.001    0.000    3.290    0.014 arraysetops.py:138(unique)
      238    0.149    0.001    3.289    0.014 arraysetops.py:320(_unique1d)
      238    0.000    0.000    0.009    0.000 contextlib.py:107(__enter__)
      238    0.001    0.000    0.002    0.000 contextlib.py:116(__exit__)
      238    0.000    0.000    0.001    0.000 contextlib.py:237(helper)
      238    0.001    0.000    0.001    0.000 contextlib.py:81(__init__)
        1    0.000    0.000    0.001    0.001 decimal.py:2(<module>)
        3    0.000    0.000    0.000    0.000 enum.py:130(__prepare__)
        3    0.000    0.000    0.000    0.000 enum.py:140(__new__)
        3    0.000    0.000    0.000    0.000 enum.py:157(<dictcomp>)
        8    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
        3    0.000    0.000    0.000    0.000 enum.py:182(<setcomp>)
        9    0.000    0.000    0.000    0.000 enum.py:203(<genexpr>)
       20    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
        8    0.000    0.000    0.000    0.000 enum.py:289(__call__)
       20    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
        3    0.000    0.000    0.000    0.000 enum.py:340(__getattr__)
       23    0.000    0.000    0.000    0.000 enum.py:381(__setattr__)
        6    0.000    0.000    0.000    0.000 enum.py:447(_get_mixins_)
        6    0.000    0.000    0.000    0.000 enum.py:458(_find_data_type)
        3    0.000    0.000    0.000    0.000 enum.py:479(_find_new_)
        8    0.000    0.000    0.000    0.000 enum.py:531(__new__)
        1    0.000    0.000    0.000    0.000 enum.py:633(value)
        3    0.000    0.000    0.000    0.000 enum.py:64(__init__)
       20    0.000    0.000    0.000    0.000 enum.py:71(__setitem__)
        1    0.000    0.000    0.000    0.000 enum.py:835(__or__)
        3    0.000    0.000    0.000    0.000 enum.py:841(__and__)
        4    0.000    0.000    0.000    0.000 fractions.py:294(_operator_fallbacks)
        1    0.000    0.000    0.002    0.002 fractions.py:4(<module>)
        1    0.000    0.000    0.000    0.000 fractions.py:60(Fraction)
      238    0.000    0.000    0.000    0.000 fromnumeric.py:1437(_squeeze_dispatcher)
      238    0.000    0.000    0.000    0.000 fromnumeric.py:1441(squeeze)
        1    0.025    0.025   68.641   68.641 lizard_detection.py:113(_define_snapshots)
        1    0.000    0.000    0.000    0.000 lizard_detection.py:119(<listcomp>)
        1    0.000    0.000    0.001    0.001 lizard_detection.py:120(<listcomp>)
      238    2.197    0.009   68.613    0.288 lizard_detection.py:132(snapshots_from_image_file)
      238    0.302    0.001   10.504    0.044 lizard_detection.py:169(_load_all_label_data)
   310491    2.075    0.000    2.275    0.000 lizard_detection.py:210(_transform_bounding_box)
 12235404   52.964    0.000   52.964    0.000 lizard_detection.py:227(_bounding_box_in_snapshot)
     4350    0.007    0.000    0.049    0.000 lizard_detection.py:38(__init__)
        1    0.000    0.000    0.000    0.000 lizard_detection.py:59(__init__)
        1    0.000    0.000   68.641   68.641 lizard_detection.py:75(from_datadir)
      476    0.000    0.000    0.010    0.000 mio.py:15(_open_file_context)
      476    0.002    0.000    0.013    0.000 mio.py:25(_open_file)
      238    0.001    0.000    0.012    0.000 mio.py:52(mat_reader_factory)
      238    0.001    0.000    0.286    0.001 mio.py:85(loadmat)
      238    0.001    0.000    0.002    0.000 mio5.py:170(__init__)
      238    0.000    0.000    0.000    0.000 mio5.py:209(guess_byte_order)
      238    0.002    0.000    0.004    0.000 mio5.py:217(read_file_header)
      238    0.002    0.000    0.002    0.000 mio5.py:228(initialize_read)
     1190    0.002    0.000    0.005    0.000 mio5.py:240(read_var_header)
     1190    0.000    0.000    0.242    0.000 mio5.py:275(read_var_array)
      238    0.003    0.000    0.261    0.001 mio5.py:294(get_variables)
      238    0.001    0.000    0.001    0.000 miobase.py:151(read_dtype)
      238    0.004    0.000    0.006    0.000 miobase.py:177(get_matfile_version)
      238    0.001    0.000    0.001    0.000 miobase.py:335(__init__)
     1428    0.001    0.000    0.004    0.000 miobase.py:383(end_of_stream)
     8390    0.001    0.000    0.001    0.000 multiarray.py:148(concatenate)
      478    0.000    0.000    0.000    0.000 pathlib.py:101(join_parsed_parts)
